Year,Month,Location,Age Group,Population
2025,Jan,Medical Reprieve Program,18-24 Years,(Blank)
2025,Jan,Medical Reprieve Program,25-29 Years,(Blank)
2025,Jan,Medical Reprieve Program,30-34 Years,(Blank)
2025,Jan,Medical Reprieve Program,35-39 Years,(Blank)
2025,Jan,Medical Reprieve Program,40-44 Years,(Blank)
2025,Jan,Medical Reprieve Program,45-49 Years,(Blank)
2025,Jan,Medical Reprieve Program,50-54 Years,(Blank)
2025,Jan,Medical Reprieve Program,55-59 Years,*
2025,Jan,Medical Reprieve Program,60-64 Years,*
2025,Jan,Medical Reprieve Program,65-69 Years,(Blank)
2025,Jan,Medical Reprieve Program,70-74 Years,(Blank)
2025,Jan,Medical Reprieve Program,75-79 Years,*
2025,Jan,Medical Reprieve Program,80-84 Years,(Blank)
2025,Jan,Medical Reprieve Program,85-89 Years,*
2025,Jan,Medical Reprieve Program,90-94 Years,(Blank)
2025,Jan,Medical Reprieve Program,95 and Older,(Blank)
2025,Jan,CCI,18-24 Years,172
2025,Jan,CCI,25-29 Years,338
2025,Jan,CCI,30-34 Years,407
2025,Jan,CCI,35-39 Years,389
2025,Jan,CCI,40-44 Years,367
2025,Jan,CCI,45-49 Years,281
2025,Jan,CCI,50-54 Years,176
2025,Jan,CCI,55-59 Years,120
2025,Jan,CCI,60-64 Years,72
2025,Jan,CCI,65-69 Years,36
2025,Jan,CCI,70-74 Years,*
2025,Jan,CCI,75-79 Years,*
2025,Jan,CCI,80-84 Years,*
2025,Jan,CCI,85-89 Years,(Blank)
2025,Jan,CCI,90-94 Years,(Blank)
2025,Jan,CCI,95 and Older,(Blank)
2025,Jan,CCWF,18-24 Years,87
2025,Jan,CCWF,25-29 Years,255
2025,Jan,CCWF,30-34 Years,389
2025,Jan,CCWF,35-39 Years,367
2025,Jan,CCWF,40-44 Years,295
2025,Jan,CCWF,45-49 Years,195
2025,Jan,CCWF,50-54 Years,130
2025,Jan,CCWF,55-59 Years,106
2025,Jan,CCWF,60-64 Years,71
2025,Jan,CCWF,65-69 Years,58
2025,Jan,CCWF,70-74 Years,29
2025,Jan,CCWF,75-79 Years,*
2025,Jan,CCWF,80-84 Years,*
2025,Jan,CCWF,85-89 Years,(Blank)
2025,Jan,CCWF,90-94 Years,*
2025,Jan,CCWF,95 and Older,(Blank)
2025,Jan,CEN,18-24 Years,83
2025,Jan,CEN,25-29 Years,414
2025,Jan,CEN,30-34 Years,690
2025,Jan,CEN,35-39 Years,530
2025,Jan,CEN,40-44 Years,422
2025,Jan,CEN,45-49 Years,303
2025,Jan,CEN,50-54 Years,185
2025,Jan,CEN,55-59 Years,94
2025,Jan,CEN,60-64 Years,58
2025,Jan,CEN,65-69 Years,12
2025,Jan,CEN,70-74 Years,*
2025,Jan,CEN,75-79 Years,(Blank)
2025,Jan,CEN,80-84 Years,*
2025,Jan,CEN,85-89 Years,(Blank)
2025,Jan,CEN,90-94 Years,(Blank)
2025,Jan,CEN,95 and Older,(Blank)
2025,Jan,CHCF,18-24 Years,15
2025,Jan,CHCF,25-29 Years,54
2025,Jan,CHCF,30-34 Years,134
2025,Jan,CHCF,35-39 Years,137
2025,Jan,CHCF,40-44 Years,167
2025,Jan,CHCF,45-49 Years,175
2025,Jan,CHCF,50-54 Years,210
2025,Jan,CHCF,55-59 Years,235
2025,Jan,CHCF,60-64 Years,239
2025,Jan,CHCF,65-69 Years,244
2025,Jan,CHCF,70-74 Years,223
2025,Jan,CHCF,75-79 Years,153
2025,Jan,CHCF,80-84 Years,68
2025,Jan,CHCF,85-89 Years,28
2025,Jan,CHCF,90-94 Years,12
2025,Jan,CHCF,95 and Older,*
2025,Jan,CIM,18-24 Years,25
2025,Jan,CIM,25-29 Years,85
2025,Jan,CIM,30-34 Years,160
2025,Jan,CIM,35-39 Years,216
2025,Jan,CIM,40-44 Years,234
2025,Jan,CIM,45-49 Years,222
2025,Jan,CIM,50-54 Years,226
2025,Jan,CIM,55-59 Years,255
2025,Jan,CIM,60-64 Years,251
2025,Jan,CIM,65-69 Years,218
2025,Jan,CIM,70-74 Years,188
2025,Jan,CIM,75-79 Years,107
2025,Jan,CIM,80-84 Years,40
2025,Jan,CIM,85-89 Years,11
2025,Jan,CIM,90-94 Years,(Blank)
2025,Jan,CIM,95 and Older,(Blank)
2025,Feb,ASP,18-24 Years,136
2025,Feb,ASP,25-29 Years,272
2025,Feb,ASP,30-34 Years,390
2025,Feb,ASP,35-39 Years,592
2025,Feb,ASP,40-44 Years,676
2025,Feb,ASP,45-49 Years,569
2025,Feb,ASP,50-54 Years,474
2025,Feb,ASP,55-59 Years,379
2025,Feb,ASP,60-64 Years,273
2025,Feb,ASP,65-69 Years,*
2025,Feb,ASP,70-74 Years,(Blank)
2025,Feb,ASP,75-79 Years,(Blank)
2025,Feb,ASP,80-84 Years,(Blank)
2025,Feb,ASP,85-89 Years,(Blank)
2025,Feb,ASP,90-94 Years,(Blank)
2025,Feb,ASP,95 and Older,(Blank)
2025,Feb,CIW,18-24 Years,69
2025,Feb,CIW,25-29 Years,146
2025,Feb,CIW,30-34 Years,237
2025,Feb,CIW,35-39 Years,226
2025,Feb,CIW,40-44 Years,173
2025,Feb,CIW,45-49 Years,128
2025,Feb,CIW,50-54 Years,64
2025,Feb,CIW,55-59 Years,64
2025,Feb,CIW,60-64 Years,64
2025,Feb,CIW,65-69 Years,35
2025,Feb,CIW,70-74 Years,15
2025,Feb,CIW,75-79 Years,14
2025,Feb,CIW,80-84 Years,*
2025,Feb,CIW,85-89 Years,(Blank)
2025,Feb,CIW,90-94 Years,*
2025,Feb,CIW,95 and Older,(Blank)
2025,Feb,CMC,18-24 Years,55
2025,Feb,CMC,25-29 Years,198
2025,Feb,CMC,30-34 Years,383
2025,Feb,CMC,35-39 Years,368
2025,Feb,CMC,40-44 Years,334
2025,Feb,CMC,45-49 Years,246
2025,Feb,CMC,50-54 Years,181
2025,Feb,CMC,55-59 Years,149
2025,Feb,CMC,60-64 Years,141
2025,Feb,CMC,65-69 Years,92
2025,Feb,CMC,70-74 Years,43
2025,Feb,CMC,75-79 Years,10
2025,Feb,CMC,80-84 Years,*
2025,Feb,CMC,85-89 Years,*
2025,Feb,CMC,90-94 Years,(Blank)
2025,Feb,CMC,95 and Older,(Blank)
2025,Feb,CMF,18-24 Years,12
2025,Feb,CMF,25-29 Years,83
2025,Feb,CMF,30-34 Years,182
2025,Feb,CMF,35-39 Years,190
2025,Feb,CMF,40-44 Years,173
2025,Feb,CMF,45-49 Years,203
2025,Feb,CMF,50-54 Years,168
2025,Feb,CMF,55-59 Years,205
2025,Feb,CMF,60-64 Years,191
2025,Feb,CMF,65-69 Years,194
2025,Feb,CMF,70-74 Years,140
2025,Feb,CMF,75-79 Years,95
2025,Feb,CMF,80-84 Years,38
2025,Feb,CMF,85-89 Years,12
2025,Feb,CMF,90-94 Years,*
2025,Feb,CMF,95 and Older,(Blank)
2025,Feb,COR,18-24 Years,39
2025,Feb,COR,25-29 Years,157
2025,Feb,COR,30-34 Years,298
2025,Feb,COR,35-39 Years,361
2025,Feb,COR,40-44 Years,368
2025,Feb,COR,45-49 Years,342
2025,Feb,COR,50-54 Years,292
2025,Feb,COR,55-59 Years,290
2025,Feb,COR,60-64 Years,215
2025,Feb,COR,65-69 Years,165
2025,Feb,COR,70-74 Years,60
2025,Feb,COR,75-79 Years,33
2025,Feb,COR,80-84 Years,10
2025,Feb,COR,85-89 Years,*
2025,Feb,COR,90-94 Years,(Blank)
2025,Feb,COR,95 and Older,(Blank)
2025,Feb,CRC,18-24 Years,157
2025,Feb,CRC,25-29 Years,283
2025,Feb,CRC,30-34 Years,411
2025,Feb,CRC,35-39 Years,465
2025,Feb,CRC,40-44 Years,457
2025,Feb,CRC,45-49 Years,302
2025,Feb,CRC,50-54 Years,220
2025,Feb,CRC,55-59 Years,191
2025,Feb,CRC,60-64 Years,140
2025,Feb,CRC,65-69 Years,96
2025,Feb,CRC,70-74 Years,27
2025,Feb,CRC,75-79 Years,*
2025,Feb,CRC,80-84 Years,*
2025,Feb,CRC,85-89 Years,(Blank)
2025,Feb,CRC,90-94 Years,(Blank)
2025,Feb,CRC,95 and Older,(Blank)
2025,Feb,CTF,18-24 Years,28
2025,Feb,CTF,25-29 Years,171
2025,Feb,CTF,30-34 Years,406
2025,Feb,CTF,35-39 Years,505
2025,Feb,CTF,40-44 Years,564
2025,Feb,CTF,45-49 Years,599
2025,Feb,CTF,50-54 Years,613
2025,Feb,CTF,55-59 Years,568
2025,Feb,CTF,60-64 Years,463
2025,Feb,CTF,65-69 Years,300
2025,Feb,CTF,70-74 Years,85
2025,Feb,CTF,75-79 Years,16
2025,Feb,CTF,80-84 Years,*
2025,Feb,CTF,85-89 Years,*
2025,Feb,CTF,90-94 Years,(Blank)
2025,Feb,CTF,95 and Older,(Blank)
2025,Feb,FOL,18-24 Years,94
2025,Feb,FOL,25-29 Years,327
2025,Feb,FOL,30-34 Years,476
2025,Feb,FOL,35-39 Years,456
2025,Feb,FOL,40-44 Years,391
2025,Feb,FOL,45-49 Years,314
2025,Feb,FOL,50-54 Years,232
2025,Feb,FOL,55-59 Years,206
2025,Feb,FOL,60-64 Years,166
2025,Feb,FOL,65-69 Years,90
2025,Feb,FOL,70-74 Years,49
2025,Feb,FOL,75-79 Years,12
2025,Feb,FOL,80-84 Years,*
2025,Feb,FOL,85-89 Years,*
2025,Feb,FOL,90-94 Years,(Blank)
2025,Feb,FOL,95 and Older,(Blank)
2025,Feb,HDSP,18-24 Years,87
2025,Feb,HDSP,25-29 Years,384
2025,Feb,HDSP,30-34 Years,573
2025,Feb,HDSP,35-39 Years,492
2025,Feb,HDSP,40-44 Years,376
2025,Feb,HDSP,45-49 Years,306
2025,Feb,HDSP,50-54 Years,202
2025,Feb,HDSP,55-59 Years,143
2025,Feb,HDSP,60-64 Years,129
2025,Feb,HDSP,65-69 Years,73
2025,Feb,HDSP,70-74 Years,16
2025,Feb,HDSP,75-79 Years,*
2025,Feb,HDSP,80-84 Years,*
2025,Feb,HDSP,85-89 Years,*
2025,Feb,HDSP,90-94 Years,(Blank)
2025,Feb,HDSP,95 and Older,(Blank)
2025,Feb,ISP,18-24 Years,110
2025,Feb,ISP,25-29 Years,189
2025,Feb,ISP,30-34 Years,304
2025,Feb,ISP,35-39 Years,379
2025,Feb,ISP,40-44 Years,394
2025,Feb,ISP,45-49 Years,334
2025,Feb,ISP,50-54 Years,318
2025,Feb,ISP,55-59 Years,252
2025,Feb,ISP,60-64 Years,210
2025,Feb,ISP,65-69 Years,99
2025,Feb,ISP,70-74 Years,16
2025,Feb,ISP,75-79 Years,*
2025,Feb,ISP,80-84 Years,*
2025,Feb,ISP,85-89 Years,(Blank)
2025,Feb,ISP,90-94 Years,(Blank)
2025,Feb,ISP,95 and Older,(Blank)
2025,Feb,KVSP,18-24 Years,94
2025,Feb,KVSP,25-29 Years,431
2025,Feb,KVSP,30-34 Years,731
2025,Feb,KVSP,35-39 Years,633
2025,Feb,KVSP,40-44 Years,473
2025,Feb,KVSP,45-49 Years,331
2025,Feb,KVSP,50-54 Years,197
2025,Feb,KVSP,55-59 Years,131
2025,Feb,KVSP,60-64 Years,94
2025,Feb,KVSP,65-69 Years,27
2025,Feb,KVSP,70-74 Years,*
2025,Feb,KVSP,75-79 Years,*
2025,Feb,KVSP,80-84 Years,*
2025,Feb,KVSP,85-89 Years,(Blank)
2025,Feb,KVSP,90-94 Years,(Blank)
2025,Feb,KVSP,95 and Older,(Blank)
2025,Feb,LAC,18-24 Years,193
2025,Feb,LAC,25-29 Years,360
2025,Feb,LAC,30-34 Years,532
2025,Feb,LAC,35-39 Years,507
2025,Feb,LAC,40-44 Years,463
2025,Feb,LAC,45-49 Years,341
2025,Feb,LAC,50-54 Years,255
2025,Feb,LAC,55-59 Years,205
2025,Feb,LAC,60-64 Years,154
2025,Feb,LAC,65-69 Years,92
2025,Feb,LAC,70-74 Years,27
2025,Feb,LAC,75-79 Years,11
2025,Feb,LAC,80-84 Years,*
2025,Feb,LAC,85-89 Years,*
2025,Feb,LAC,90-94 Years,(Blank)
2025,Feb,LAC,95 and Older,(Blank)
2025,Feb,MCSP,18-24 Years,89
2025,Feb,MCSP,25-29 Years,344
2025,Feb,MCSP,30-34 Years,494
2025,Feb,MCSP,35-39 Years,489
2025,Feb,MCSP,40-44 Years,465
2025,Feb,MCSP,45-49 Years,454
2025,Feb,MCSP,50-54 Years,348
2025,Feb,MCSP,55-59 Years,334
2025,Feb,MCSP,60-64 Years,291
2025,Feb,MCSP,65-69 Years,207
2025,Feb,MCSP,70-74 Years,145
2025,Feb,MCSP,75-79 Years,99
2025,Feb,MCSP,80-84 Years,37
2025,Feb,MCSP,85-89 Years,*
2025,Feb,MCSP,90-94 Years,*
2025,Feb,MCSP,95 and Older,(Blank)
2025,Feb,NKSP,18-24 Years,205
2025,Feb,NKSP,25-29 Years,472
2025,Feb,NKSP,30-34 Years,555
2025,Feb,NKSP,35-39 Years,496
2025,Feb,NKSP,40-44 Years,358
2025,Feb,NKSP,45-49 Years,237
2025,Feb,NKSP,50-54 Years,139
2025,Feb,NKSP,55-59 Years,100
2025,Feb,NKSP,60-64 Years,55
2025,Feb,NKSP,65-69 Years,21
2025,Feb,NKSP,70-74 Years,*
2025,Feb,NKSP,75-79 Years,*
2025,Feb,NKSP,80-84 Years,*
2025,Feb,NKSP,85-89 Years,(Blank)
2025,Feb,NKSP,90-94 Years,(Blank)
2025,Feb,NKSP,95 and Older,(Blank)
2025,Feb,PBSP,18-24 Years,49
2025,Feb,PBSP,25-29 Years,197
2025,Feb,PBSP,30-34 Years,346
2025,Feb,PBSP,35-39 Years,382
2025,Feb,PBSP,40-44 Years,282
2025,Feb,PBSP,45-49 Years,232
2025,Feb,PBSP,50-54 Years,187
2025,Feb,PBSP,55-59 Years,159
2025,Feb,PBSP,60-64 Years,112
2025,Feb,PBSP,65-69 Years,48
2025,Feb,PBSP,70-74 Years,22
2025,Feb,PBSP,75-79 Years,*
2025,Feb,PBSP,80-84 Years,*
2025,Feb,PBSP,85-89 Years,(Blank)
2025,Feb,PBSP,90-94 Years,(Blank)
2025,Feb,PBSP,95 and Older,(Blank)
2025,Feb,PVSP,18-24 Years,243
2025,Feb,PVSP,25-29 Years,520
2025,Feb,PVSP,30-34 Years,605
2025,Feb,PVSP,35-39 Years,506
2025,Feb,PVSP,40-44 Years,389
2025,Feb,PVSP,45-49 Years,265
2025,Feb,PVSP,50-54 Years,159
2025,Feb,PVSP,55-59 Years,88
2025,Feb,PVSP,60-64 Years,59
2025,Feb,PVSP,65-69 Years,(Blank)
2025,Feb,PVSP,70-74 Years,(Blank)
2025,Feb,PVSP,75-79 Years,(Blank)
2025,Feb,PVSP,80-84 Years,(Blank)
2025,Feb,PVSP,85-89 Years,(Blank)
2025,Feb,PVSP,90-94 Years,(Blank)
2025,Feb,PVSP,95 and Older,(Blank)
2025,Feb,RJD,18-24 Years,30
2025,Feb,RJD,25-29 Years,226
2025,Feb,RJD,30-34 Years,376
2025,Feb,RJD,35-39 Years,396
2025,Feb,RJD,40-44 Years,398
2025,Feb,RJD,45-49 Years,405
2025,Feb,RJD,50-54 Years,367
2025,Feb,RJD,55-59 Years,365
2025,Feb,RJD,60-64 Years,305
2025,Feb,RJD,65-69 Years,249
2025,Feb,RJD,70-74 Years,142
2025,Feb,RJD,75-79 Years,74
2025,Feb,RJD,80-84 Years,28
2025,Feb,RJD,85-89 Years,*
2025,Feb,RJD,90-94 Years,(Blank)
2025,Feb,RJD,95 and Older,(Blank)
2025,Feb,SAC,18-24 Years,39
2025,Feb,SAC,25-29 Years,253
2025,Feb,SAC,30-34 Years,380
2025,Feb,SAC,35-39 Years,337
2025,Feb,SAC,40-44 Years,302
2025,Feb,SAC,45-49 Years,222
2025,Feb,SAC,50-54 Years,155
2025,Feb,SAC,55-59 Years,114
2025,Feb,SAC,60-64 Years,98
2025,Feb,SAC,65-69 Years,96
2025,Feb,SAC,70-74 Years,34
2025,Feb,SAC,75-79 Years,27
2025,Feb,SAC,80-84 Years,*
2025,Feb,SAC,85-89 Years,(Blank)
2025,Feb,SAC,90-94 Years,(Blank)
2025,Feb,SAC,95 and Older,(Blank)
2025,Feb,CAL,18-24 Years,90
2025,Feb,CAL,25-29 Years,439
2025,Feb,CAL,30-34 Years,637
2025,Feb,CAL,35-39 Years,499
2025,Feb,CAL,40-44 Years,370
2025,Feb,CAL,45-49 Years,258
2025,Feb,CAL,50-54 Years,132
2025,Feb,CAL,55-59 Years,54
2025,Feb,CAL,60-64 Years,49
2025,Feb,CAL,65-69 Years,*
2025,Feb,CAL,70-74 Years,(Blank)
2025,Feb,CAL,75-79 Years,*
2025,Feb,CAL,80-84 Years,(Blank)
2025,Feb,CAL,85-89 Years,(Blank)
2025,Feb,CAL,90-94 Years,(Blank)
2025,Feb,CAL,95 and Older,(Blank)
2025,Feb,SATF,18-24 Years,195
2025,Feb,SATF,25-29 Years,468
2025,Feb,SATF,30-34 Years,746
2025,Feb,SATF,35-39 Years,702
2025,Feb,SATF,40-44 Years,696
2025,Feb,SATF,45-49 Years,624
2025,Feb,SATF,50-54 Years,491
2025,Feb,SATF,55-59 Years,461
2025,Feb,SATF,60-64 Years,427
2025,Feb,SATF,65-69 Years,263
2025,Feb,SATF,70-74 Years,114
2025,Feb,SATF,75-79 Years,29
2025,Feb,SATF,80-84 Years,15
2025,Feb,SATF,85-89 Years,*
2025,Feb,SATF,90-94 Years,(Blank)
2025,Feb,SATF,95 and Older,(Blank)
2025,Feb,SCC,18-24 Years,459
2025,Feb,SCC,25-29 Years,754
2025,Feb,SCC,30-34 Years,874
2025,Feb,SCC,35-39 Years,747
2025,Feb,SCC,40-44 Years,552
2025,Feb,SCC,45-49 Years,383
2025,Feb,SCC,50-54 Years,205
2025,Feb,SCC,55-59 Years,127
2025,Feb,SCC,60-64 Years,56
2025,Feb,SCC,65-69 Years,18
2025,Feb,SCC,70-74 Years,*
2025,Feb,SCC,75-79 Years,*
2025,Feb,SCC,80-84 Years,(Blank)
2025,Feb,SCC,85-89 Years,(Blank)
2025,Feb,SCC,90-94 Years,(Blank)
2025,Feb,SCC,95 and Older,(Blank)
2025,Feb,SOL,18-24 Years,617
2025,Feb,SOL,25-29 Years,609
2025,Feb,SOL,30-34 Years,442
2025,Feb,SOL,35-39 Years,373
2025,Feb,SOL,40-44 Years,363
2025,Feb,SOL,45-49 Years,364
2025,Feb,SOL,50-54 Years,318
2025,Feb,SOL,55-59 Years,245
2025,Feb,SOL,60-64 Years,206
2025,Feb,SOL,65-69 Years,165
2025,Feb,SOL,70-74 Years,105
2025,Feb,SOL,75-79 Years,51
2025,Feb,SOL,80-84 Years,14
2025,Feb,SOL,85-89 Years,*
2025,Feb,SOL,90-94 Years,*
2025,Feb,SOL,95 and Older,(Blank)
2025,Feb,SQ,18-24 Years,72
2025,Feb,SQ,25-29 Years,152
2025,Feb,SQ,30-34 Years,227
2025,Feb,SQ,35-39 Years,301
2025,Feb,SQ,40-44 Years,362
2025,Feb,SQ,45-49 Years,333
2025,Feb,SQ,50-54 Years,267
2025,Feb,SQ,55-59 Years,314
2025,Feb,SQ,60-64 Years,324
2025,Feb,SQ,65-69 Years,265
2025,Feb,SQ,70-74 Years,165
2025,Feb,SQ,75-79 Years,69
2025,Feb,SQ,80-84 Years,26
2025,Feb,SQ,85-89 Years,*
2025,Feb,SQ,90-94 Years,(Blank)
2025,Feb,SQ,95 and Older,(Blank)
2025,Feb,SVSP,18-24 Years,67
2025,Feb,SVSP,25-29 Years,320
2025,Feb,SVSP,30-34 Years,513
2025,Feb,SVSP,35-39 Years,405
2025,Feb,SVSP,40-44 Years,341
2025,Feb,SVSP,45-49 Years,231
2025,Feb,SVSP,50-54 Years,179
2025,Feb,SVSP,55-59 Years,130
2025,Feb,SVSP,60-64 Years,102
2025,Feb,SVSP,65-69 Years,62
2025,Feb,SVSP,70-74 Years,14
2025,Feb,SVSP,75-79 Years,*
2025,Feb,SVSP,80-84 Years,*
2025,Feb,SVSP,85-89 Years,(Blank)
2025,Feb,SVSP,90-94 Years,(Blank)
2025,Feb,SVSP,95 and Older,(Blank)
2025,Feb,VSP,18-24 Years,286
2025,Feb,VSP,25-29 Years,336
2025,Feb,VSP,30-34 Years,149
2025,Feb,VSP,35-39 Years,196
2025,Feb,VSP,40-44 Years,281
2025,Feb,VSP,45-49 Years,332
2025,Feb,VSP,50-54 Years,290
2025,Feb,VSP,55-59 Years,365
2025,Feb,VSP,60-64 Years,371
2025,Feb,VSP,65-69 Years,286
2025,Feb,VSP,70-74 Years,119
2025,Feb,VSP,75-79 Years,49
2025,Feb,VSP,80-84 Years,20
2025,Feb,VSP,85-89 Years,*
2025,Feb,VSP,90-94 Years,*
2025,Feb,VSP,95 and Older,(Blank)
2025,Feb,WSP,18-24 Years,328
2025,Feb,WSP,25-29 Years,587
2025,Feb,WSP,30-34 Years,890
2025,Feb,WSP,35-39 Years,710
2025,Feb,WSP,40-44 Years,526
2025,Feb,WSP,45-49 Years,335
2025,Feb,WSP,50-54 Years,188
2025,Feb,WSP,55-59 Years,122
2025,Feb,WSP,60-64 Years,84
2025,Feb,WSP,65-69 Years,35
2025,Feb,WSP,70-74 Years,11
2025,Feb,WSP,75-79 Years,*
2025,Feb,WSP,80-84 Years,(Blank)
2025,Feb,WSP,85-89 Years,(Blank)
2025,Feb,WSP,90-94 Years,(Blank)
2025,Feb,WSP,95 and Older,(Blank)
2025,Feb,CPMP,18-24 Years,*
2025,Feb,CPMP,25-29 Years,*
2025,Feb,CPMP,30-34 Years,*
2025,Feb,CPMP,35-39 Years,(Blank)
2025,Feb,CPMP,40-44 Years,*
2025,Feb,CPMP,45-49 Years,(Blank)
2025,Feb,CPMP,50-54 Years,(Blank)
2025,Feb,CPMP,55-59 Years,(Blank)
2025,Feb,CPMP,60-64 Years,(Blank)
2025,Feb,CPMP,65-69 Years,(Blank)
2025,Feb,CPMP,70-74 Years,(Blank)
2025,Feb,CPMP,75-79 Years,(Blank)
2025,Feb,CPMP,80-84 Years,(Blank)
2025,Feb,CPMP,85-89 Years,(Blank)
2025,Feb,CPMP,90-94 Years,(Blank)
2025,Feb,CPMP,95 and Older,(Blank)
