Year,Month,Location,Country of Birth,Population
2025,Mar,RJD,Guatemala,12
2025,Mar,RJD,Mexico,264
2025,Mar,RJD,Others,340
2025,Mar,RJD,Philippines,12
2025,Mar,RJD,United States,"2,760"
2025,Mar,RJD,Vietnam,19
2025,Mar,SAC,El Salvador,15
2025,Mar,SAC,Guatemala,*
2025,Mar,SAC,Mexico,116
2025,Mar,SAC,Others,204
2025,Mar,SAC,Philippines,*
2025,Mar,SAC,United States,"1,727"
2025,Mar,SAC,Vietnam,*
2025,Mar,CAL,El Salvador,15
2025,Mar,CAL,Guatemala,14
2025,Mar,CAL,Mexico,149
2025,Mar,CAL,Others,229
2025,Mar,CAL,Philippines,(Blank)
2025,Mar,CAL,United States,"2,138"
2025,Mar,CAL,Vietnam,10
2025,Mar,SATF,El Salvador,54
2025,Mar,SATF,Guatemala,40
2025,Mar,SATF,Mexico,481
2025,Mar,SATF,Others,571
2025,Mar,SATF,Philippines,18
2025,Mar,SATF,United States,"4,163"
2025,Mar,SATF,Vietnam,10
2025,Mar,SCC,El Salvador,15
2025,Mar,SCC,Guatemala,*
2025,Mar,SCC,Mexico,181
2025,Mar,SCC,Others,778
2025,Mar,SCC,Philippines,10
2025,Mar,SCC,United States,"3,109"
2025,Mar,SCC,Vietnam,*
2025,Mar,SOL,El Salvador,17
2025,Mar,SOL,Guatemala,15
2025,Mar,SOL,Mexico,253
2025,Mar,SOL,Others,518
2025,Mar,SOL,Philippines,11
2025,Mar,SOL,United States,"3,046"
2025,Mar,SOL,Vietnam,22
2025,Mar,SQ,El Salvador,47
2025,Mar,SQ,Guatemala,28
2025,Mar,SQ,Mexico,382
2025,Mar,SQ,Others,172
2025,Mar,SQ,Philippines,21
2025,Mar,SQ,United States,"2,191"
2025,Mar,SQ,Vietnam,24
2025,Mar,SVSP,El Salvador,*
2025,Mar,SVSP,Guatemala,*
2025,Mar,SVSP,Mexico,111
2025,Mar,SVSP,Others,167
2025,Mar,SVSP,Philippines,(Blank)
2025,Mar,SVSP,United States,"2,105"
2025,Mar,SVSP,Vietnam,*
2025,Mar,VSP,El Salvador,41
2025,Mar,VSP,Guatemala,26
2025,Mar,VSP,Mexico,333
2025,Mar,VSP,Others,370
2025,Mar,VSP,Philippines,15
2025,Mar,VSP,United States,"2,223"
2025,Mar,VSP,Vietnam,14
2025,Mar,WSP,El Salvador,16
2025,Mar,WSP,Guatemala,20
2025,Mar,WSP,Mexico,192
2025,Mar,WSP,Others,265
2025,Mar,WSP,Philippines,*
2025,Mar,WSP,United States,"3,140"
2025,Mar,WSP,Vietnam,*
2025,Mar,CPMP,El Salvador,(Blank)
2025,Mar,CPMP,Guatemala,(Blank)
2025,Mar,CPMP,Mexico,(Blank)
2025,Mar,CPMP,Others,*
2025,Mar,CPMP,Philippines,(Blank)
2025,Mar,CPMP,United States,*
2025,Mar,CPMP,Vietnam,(Blank)
2025,Mar,FCRF,El Salvador,*
2025,Mar,FCRF,Guatemala,*
2025,Mar,FCRF,Mexico,14
2025,Mar,FCRF,Others,56
2025,Mar,FCRF,Philippines,*
2025,Mar,FCRF,United States,334
2025,Mar,FCRF,Vietnam,(Blank)
2025,Mar,Alternative Custody Program,El Salvador,(Blank)
2025,Mar,Alternative Custody Program,Guatemala,(Blank)
2025,Mar,Alternative Custody Program,Mexico,(Blank)
2025,Mar,Alternative Custody Program,Others,*
2025,Mar,Alternative Custody Program,Philippines,(Blank)
2025,Mar,Alternative Custody Program,United States,*
2025,Mar,Alternative Custody Program,Vietnam,(Blank)
2025,Mar,Department of State Hospitals,El Salvador,(Blank)
2025,Mar,Department of State Hospitals,Guatemala,*
2025,Mar,Department of State Hospitals,Mexico,16
2025,Mar,Department of State Hospitals,Others,17
2025,Mar,Department of State Hospitals,Philippines,*
2025,Mar,Department of State Hospitals,United States,156
2025,Mar,Department of State Hospitals,Vietnam,*
2025,Mar,Male Community Reentry Facility,El Salvador,*
2025,Mar,Male Community Reentry Facility,Guatemala,*
2025,Mar,Male Community Reentry Facility,Mexico,17
2025,Mar,Male Community Reentry Facility,Others,70
2025,Mar,Male Community Reentry Facility,Philippines,*
2025,Mar,Male Community Reentry Facility,United States,579
2025,Mar,Male Community Reentry Facility,Vietnam,*
2025,Mar,Medical Reprieve Program,El Salvador,(Blank)
2025,Mar,Medical Reprieve Program,Guatemala,(Blank)
2025,Mar,Medical Reprieve Program,Mexico,(Blank)
2025,Mar,Medical Reprieve Program,Others,(Blank)
2025,Mar,Medical Reprieve Program,Philippines,(Blank)
2025,Mar,Medical Reprieve Program,United States,*
2025,Mar,Medical Reprieve Program,Vietnam,(Blank)
2025,Mar,CCI,El Salvador,21
2025,Mar,CCI,Guatemala,12
2025,Mar,CCI,Mexico,170
2025,Mar,CCI,Others,328
2025,Mar,CCI,Philippines,*
2025,Mar,CCI,United States,"1,869"
2025,Mar,CCI,Vietnam,*
2025,Mar,CCWF,El Salvador,11
2025,Mar,CCWF,Guatemala,*
2025,Mar,CCWF,Mexico,79
2025,Mar,CCWF,Others,225
2025,Mar,CCWF,Philippines,*
2025,Mar,CCWF,United States,"1,674"
2025,Mar,CCWF,Vietnam,*
2025,Mar,CEN,El Salvador,27
2025,Mar,CEN,Guatemala,*
2025,Mar,CEN,Mexico,175
2025,Mar,CEN,Others,250
2025,Mar,CEN,Philippines,*
2025,Mar,CEN,United States,"2,352"
2025,Mar,CEN,Vietnam,*
2025,Mar,CHCF,El Salvador,11
2025,Mar,CHCF,Guatemala,11
2025,Mar,CHCF,Mexico,165
2025,Mar,CHCF,Others,177
2025,Mar,CHCF,Philippines,11
2025,Mar,CHCF,United States,"1,715"
2025,Mar,CHCF,Vietnam,*
2025,Mar,CIM,El Salvador,25
2025,Mar,CIM,Guatemala,21
2025,Mar,CIM,Mexico,302
2025,Mar,CIM,Others,263
2025,Mar,CIM,Philippines,13
2025,Mar,CIM,United States,"1,710"
2025,Mar,CIM,Vietnam,13
2025,Apr,ASP,El Salvador,78
2025,Apr,ASP,Guatemala,70
2025,Apr,ASP,Mexico,831
2025,Apr,ASP,Others,869
2025,Apr,ASP,Philippines,*
2025,Apr,ASP,United States,"2,075"
2025,Apr,ASP,Vietnam,20
2025,Apr,CIW,El Salvador,*
2025,Apr,CIW,Guatemala,*
2025,Apr,CIW,Mexico,48
2025,Apr,CIW,Others,107
2025,Apr,CIW,Philippines,*
2025,Apr,CIW,United States,"1,045"
2025,Apr,CIW,Vietnam,*
2025,Apr,CMC,El Salvador,13
2025,Apr,CMC,Guatemala,15
2025,Apr,CMC,Mexico,127
2025,Apr,CMC,Others,225
2025,Apr,CMC,Philippines,*
2025,Apr,CMC,United States,"1,831"
2025,Apr,CMC,Vietnam,*
2025,Apr,CMF,El Salvador,*
2025,Apr,CMF,Guatemala,*
2025,Apr,CMF,Mexico,142
2025,Apr,CMF,Others,180
2025,Apr,CMF,Philippines,10
2025,Apr,CMF,United States,"1,610"
2025,Apr,CMF,Vietnam,*
2025,Apr,COR,El Salvador,30
2025,Apr,COR,Guatemala,15
2025,Apr,COR,Mexico,305
2025,Apr,COR,Others,281
2025,Apr,COR,Philippines,14
2025,Apr,COR,United States,"1,995"
2025,Apr,COR,Vietnam,*
2025,Apr,CRC,El Salvador,40
2025,Apr,CRC,Guatemala,38
2025,Apr,CRC,Mexico,335
2025,Apr,CRC,Others,485
2025,Apr,CRC,Philippines,*
2025,Apr,CRC,United States,"1,844"
2025,Apr,CRC,Vietnam,11
2025,Apr,CTF,El Salvador,67
2025,Apr,CTF,Guatemala,34
2025,Apr,CTF,Mexico,786
2025,Apr,CTF,Others,384
2025,Apr,CTF,Philippines,32
2025,Apr,CTF,United States,"2,963"
2025,Apr,CTF,Vietnam,24
2025,Apr,FOL,El Salvador,19
2025,Apr,FOL,Guatemala,17
2025,Apr,FOL,Mexico,246
2025,Apr,FOL,Others,343
2025,Apr,FOL,Philippines,*
2025,Apr,FOL,United States,"2,211"
2025,Apr,FOL,Vietnam,11
2025,Apr,HDSP,El Salvador,22
2025,Apr,HDSP,Guatemala,*
2025,Apr,HDSP,Mexico,149
2025,Apr,HDSP,Others,323
2025,Apr,HDSP,Philippines,*
2025,Apr,HDSP,United States,"2,310"
2025,Apr,HDSP,Vietnam,*
2025,Apr,ISP,El Salvador,46
2025,Apr,ISP,Guatemala,50
2025,Apr,ISP,Mexico,519
2025,Apr,ISP,Others,424
2025,Apr,ISP,Philippines,20
2025,Apr,ISP,United States,"1,558"
2025,Apr,ISP,Vietnam,*
2025,Apr,KVSP,El Salvador,20
2025,Apr,KVSP,Guatemala,*
2025,Apr,KVSP,Mexico,166
2025,Apr,KVSP,Others,224
2025,Apr,KVSP,Philippines,*
2025,Apr,KVSP,United States,"2,691"
2025,Apr,KVSP,Vietnam,*
2025,Apr,LAC,El Salvador,13
2025,Apr,LAC,Guatemala,10
2025,Apr,LAC,Mexico,122
2025,Apr,LAC,Others,237
2025,Apr,LAC,Philippines,*
2025,Apr,LAC,United States,"2,460"
2025,Apr,LAC,Vietnam,*
2025,Apr,MCSP,El Salvador,25
2025,Apr,MCSP,Guatemala,15
2025,Apr,MCSP,Mexico,240
2025,Apr,MCSP,Others,356
2025,Apr,MCSP,Philippines,13
2025,Apr,MCSP,United States,"3,120"
2025,Apr,MCSP,Vietnam,*
2025,Apr,NKSP,El Salvador,14
2025,Apr,NKSP,Guatemala,13
2025,Apr,NKSP,Mexico,83
2025,Apr,NKSP,Others,545
2025,Apr,NKSP,Philippines,*
2025,Apr,NKSP,United States,"1,856"
2025,Apr,NKSP,Vietnam,*
2025,Apr,PBSP,El Salvador,13
2025,Apr,PBSP,Guatemala,*
2025,Apr,PBSP,Mexico,127
2025,Apr,PBSP,Others,272
2025,Apr,PBSP,Philippines,*
2025,Apr,PBSP,United States,"1,574"
2025,Apr,PBSP,Vietnam,*
2025,Apr,PVSP,El Salvador,27
2025,Apr,PVSP,Guatemala,18
2025,Apr,PVSP,Mexico,243
2025,Apr,PVSP,Others,593
2025,Apr,PVSP,Philippines,*
2025,Apr,PVSP,United States,"2,097"
2025,Apr,PVSP,Vietnam,*
2025,Apr,RJD,El Salvador,26
2025,Apr,RJD,Guatemala,12
2025,Apr,RJD,Mexico,263
2025,Apr,RJD,Others,330
2025,Apr,RJD,Philippines,12
2025,Apr,RJD,United States,"2,809"
2025,Apr,RJD,Vietnam,19
2025,Apr,SAC,El Salvador,15
2025,Apr,SAC,Guatemala,*
2025,Apr,SAC,Mexico,113
2025,Apr,SAC,Others,190
2025,Apr,SAC,Philippines,*
2025,Apr,SAC,United States,"1,733"
2025,Apr,SAC,Vietnam,*
2025,Apr,CAL,El Salvador,14
2025,Apr,CAL,Guatemala,12
2025,Apr,CAL,Mexico,146
2025,Apr,CAL,Others,219
2025,Apr,CAL,Philippines,(Blank)
2025,Apr,CAL,United States,"2,081"
2025,Apr,CAL,Vietnam,10
2025,Apr,SATF,El Salvador,55
2025,Apr,SATF,Guatemala,39
2025,Apr,SATF,Mexico,498
2025,Apr,SATF,Others,583
2025,Apr,SATF,Philippines,17
2025,Apr,SATF,United States,"4,207"
2025,Apr,SATF,Vietnam,11
2025,Apr,SCC,El Salvador,16
2025,Apr,SCC,Guatemala,*
2025,Apr,SCC,Mexico,168
2025,Apr,SCC,Others,759
2025,Apr,SCC,Philippines,10
2025,Apr,SCC,United States,"3,055"
2025,Apr,SCC,Vietnam,*
2025,Apr,SOL,El Salvador,17
2025,Apr,SOL,Guatemala,14
2025,Apr,SOL,Mexico,249
2025,Apr,SOL,Others,509
2025,Apr,SOL,Philippines,11
2025,Apr,SOL,United States,"2,967"
2025,Apr,SOL,Vietnam,22
2025,Apr,SQ,El Salvador,45
2025,Apr,SQ,Guatemala,28
2025,Apr,SQ,Mexico,377
2025,Apr,SQ,Others,170
2025,Apr,SQ,Philippines,20
2025,Apr,SQ,United States,"2,141"
2025,Apr,SQ,Vietnam,24
2025,Apr,SVSP,El Salvador,*
2025,Apr,SVSP,Guatemala,*
2025,Apr,SVSP,Mexico,106
2025,Apr,SVSP,Others,163
2025,Apr,SVSP,Philippines,(Blank)
2025,Apr,SVSP,United States,"2,037"
2025,Apr,SVSP,Vietnam,*
2025,Apr,VSP,El Salvador,42
2025,Apr,VSP,Guatemala,26
2025,Apr,VSP,Mexico,327
2025,Apr,VSP,Others,364
2025,Apr,VSP,Philippines,15
2025,Apr,VSP,United States,"2,226"
2025,Apr,VSP,Vietnam,13
2025,Apr,WSP,El Salvador,21
2025,Apr,WSP,Guatemala,17
2025,Apr,WSP,Mexico,207
2025,Apr,WSP,Others,244
2025,Apr,WSP,Philippines,*
2025,Apr,WSP,United States,"3,102"
2025,Apr,WSP,Vietnam,*
2025,Apr,CPMP,El Salvador,(Blank)
2025,Apr,CPMP,Guatemala,(Blank)
2025,Apr,CPMP,Mexico,(Blank)
2025,Apr,CPMP,Others,*
2025,Apr,CPMP,Philippines,(Blank)
2025,Apr,CPMP,United States,*
2025,Apr,CPMP,Vietnam,(Blank)
2025,Apr,FCRF,El Salvador,*
2025,Apr,FCRF,Guatemala,*
2025,Apr,FCRF,Mexico,11
2025,Apr,FCRF,Others,49
2025,Apr,FCRF,Philippines,(Blank)
2025,Apr,FCRF,United States,342
2025,Apr,FCRF,Vietnam,(Blank)
2025,Apr,Alternative Custody Program,El Salvador,(Blank)
2025,Apr,Alternative Custody Program,Guatemala,(Blank)
2025,Apr,Alternative Custody Program,Mexico,(Blank)
2025,Apr,Alternative Custody Program,Others,(Blank)
2025,Apr,Alternative Custody Program,Philippines,(Blank)
2025,Apr,Alternative Custody Program,United States,*
2025,Apr,Alternative Custody Program,Vietnam,(Blank)
2025,Apr,Department of State Hospitals,El Salvador,(Blank)
2025,Apr,Department of State Hospitals,Guatemala,*
2025,Apr,Department of State Hospitals,Mexico,13
2025,Apr,Department of State Hospitals,Others,21
2025,Apr,Department of State Hospitals,Philippines,*
2025,Apr,Department of State Hospitals,United States,158
2025,Apr,Department of State Hospitals,Vietnam,*
2025,Apr,Male Community Reentry Facility,El Salvador,*
2025,Apr,Male Community Reentry Facility,Guatemala,*
2025,Apr,Male Community Reentry Facility,Mexico,17
2025,Apr,Male Community Reentry Facility,Others,66
2025,Apr,Male Community Reentry Facility,Philippines,*
2025,Apr,Male Community Reentry Facility,United States,588
2025,Apr,Male Community Reentry Facility,Vietnam,*
2025,Apr,Medical Reprieve Program,El Salvador,(Blank)
2025,Apr,Medical Reprieve Program,Guatemala,(Blank)
2025,Apr,Medical Reprieve Program,Mexico,(Blank)
2025,Apr,Medical Reprieve Program,Others,(Blank)
2025,Apr,Medical Reprieve Program,Philippines,(Blank)
2025,Apr,Medical Reprieve Program,United States,*
2025,Apr,Medical Reprieve Program,Vietnam,(Blank)
2025,Apr,CCI,El Salvador,20
2025,Apr,CCI,Guatemala,12
2025,Apr,CCI,Mexico,177
2025,Apr,CCI,Others,333
2025,Apr,CCI,Philippines,*
2025,Apr,CCI,United States,"1,924"
2025,Apr,CCI,Vietnam,*
2025,Apr,CCWF,El Salvador,13
2025,Apr,CCWF,Guatemala,*
2025,Apr,CCWF,Mexico,77
2025,Apr,CCWF,Others,222
2025,Apr,CCWF,Philippines,*
2025,Apr,CCWF,United States,"1,663"
2025,Apr,CCWF,Vietnam,*
2025,Apr,CEN,El Salvador,27
2025,Apr,CEN,Guatemala,*
2025,Apr,CEN,Mexico,178
2025,Apr,CEN,Others,255
2025,Apr,CEN,Philippines,*
2025,Apr,CEN,United States,"2,427"
2025,Apr,CEN,Vietnam,*
2025,Apr,CHCF,El Salvador,11
2025,Apr,CHCF,Guatemala,13
2025,Apr,CHCF,Mexico,174
2025,Apr,CHCF,Others,206
2025,Apr,CHCF,Philippines,11
2025,Apr,CHCF,United States,"1,791"
2025,Apr,CHCF,Vietnam,*
2025,Apr,CIM,El Salvador,25
2025,Apr,CIM,Guatemala,22
2025,Apr,CIM,Mexico,298
2025,Apr,CIM,Others,256
2025,Apr,CIM,Philippines,14
2025,Apr,CIM,United States,"1,685"
2025,Apr,CIM,Vietnam,12
2025,May,ASP,El Salvador,78
2025,May,ASP,Guatemala,67
2025,May,ASP,Mexico,819
2025,May,ASP,Others,885
2025,May,ASP,Philippines,*
2025,May,ASP,United States,"2,122"
2025,May,ASP,Vietnam,19
2025,May,CIW,El Salvador,*
2025,May,CIW,Guatemala,*
2025,May,CIW,Mexico,47
2025,May,CIW,Others,110
2025,May,CIW,Philippines,*
2025,May,CIW,United States,"1,025"
2025,May,CIW,Vietnam,*
2025,May,CMC,El Salvador,11
2025,May,CMC,Guatemala,16
2025,May,CMC,Mexico,122
2025,May,CMC,Others,228
2025,May,CMC,Philippines,*
2025,May,CMC,United States,"1,861"
2025,May,CMC,Vietnam,*
2025,May,CMF,El Salvador,*
2025,May,CMF,Guatemala,*
2025,May,CMF,Mexico,134
2025,May,CMF,Others,187
2025,May,CMF,Philippines,10
2025,May,CMF,United States,"1,668"
2025,May,CMF,Vietnam,*
2025,May,COR,El Salvador,28
2025,May,COR,Guatemala,16
2025,May,COR,Mexico,311
2025,May,COR,Others,274
2025,May,COR,Philippines,14
2025,May,COR,United States,"1,974"
2025,May,COR,Vietnam,*
2025,May,CRC,El Salvador,39
2025,May,CRC,Guatemala,41
2025,May,CRC,Mexico,342
2025,May,CRC,Others,494
2025,May,CRC,Philippines,*
2025,May,CRC,United States,"1,810"
2025,May,CRC,Vietnam,10
2025,May,CTF,El Salvador,66
2025,May,CTF,Guatemala,33
2025,May,CTF,Mexico,778
2025,May,CTF,Others,375
2025,May,CTF,Philippines,32
2025,May,CTF,United States,"2,938"
2025,May,CTF,Vietnam,24
2025,May,FOL,El Salvador,21
2025,May,FOL,Guatemala,18
2025,May,FOL,Mexico,249
2025,May,FOL,Others,352
2025,May,FOL,Philippines,*
2025,May,FOL,United States,"2,207"
2025,May,FOL,Vietnam,12
2025,May,HDSP,El Salvador,22
2025,May,HDSP,Guatemala,*
2025,May,HDSP,Mexico,144
2025,May,HDSP,Others,313
2025,May,HDSP,Philippines,*
2025,May,HDSP,United States,"2,217"
2025,May,HDSP,Vietnam,*
2025,May,ISP,El Salvador,47
2025,May,ISP,Guatemala,49
2025,May,ISP,Mexico,521
2025,May,ISP,Others,418
2025,May,ISP,Philippines,20
2025,May,ISP,United States,"1,559"
2025,May,ISP,Vietnam,*
2025,May,KVSP,El Salvador,21
2025,May,KVSP,Guatemala,*
2025,May,KVSP,Mexico,167
2025,May,KVSP,Others,218
2025,May,KVSP,Philippines,*
2025,May,KVSP,United States,"2,697"
2025,May,KVSP,Vietnam,*
2025,May,LAC,El Salvador,12
2025,May,LAC,Guatemala,*
2025,May,LAC,Mexico,119
2025,May,LAC,Others,217
2025,May,LAC,Philippines,*
2025,May,LAC,United States,"2,319"
2025,May,LAC,Vietnam,*
2025,May,MCSP,El Salvador,26
2025,May,MCSP,Guatemala,15
2025,May,MCSP,Mexico,242
2025,May,MCSP,Others,350
2025,May,MCSP,Philippines,13
2025,May,MCSP,United States,"3,130"
2025,May,MCSP,Vietnam,*
2025,May,NKSP,El Salvador,15
2025,May,NKSP,Guatemala,*
2025,May,NKSP,Mexico,78
2025,May,NKSP,Others,511
2025,May,NKSP,Philippines,*
2025,May,NKSP,United States,"1,792"
2025,May,NKSP,Vietnam,*
2025,May,PBSP,El Salvador,11
2025,May,PBSP,Guatemala,*
2025,May,PBSP,Mexico,123
2025,May,PBSP,Others,281
2025,May,PBSP,Philippines,*
2025,May,PBSP,United States,"1,570"
2025,May,PBSP,Vietnam,*
2025,May,PVSP,El Salvador,26
2025,May,PVSP,Guatemala,19
2025,May,PVSP,Mexico,238
2025,May,PVSP,Others,588
2025,May,PVSP,Philippines,(Blank)
2025,May,PVSP,United States,"2,086"
2025,May,PVSP,Vietnam,*
2025,May,RJD,El Salvador,26
2025,May,RJD,Guatemala,12
2025,May,RJD,Mexico,271
2025,May,RJD,Others,345
2025,May,RJD,Philippines,12
2025,May,RJD,United States,"2,870"
2025,May,RJD,Vietnam,19
2025,May,SAC,El Salvador,15
2025,May,SAC,Guatemala,*
2025,May,SAC,Mexico,126
2025,May,SAC,Others,192
2025,May,SAC,Philippines,*
2025,May,SAC,United States,"1,798"
2025,May,SAC,Vietnam,*
2025,May,CAL,El Salvador,14
2025,May,CAL,Guatemala,12
2025,May,CAL,Mexico,142
2025,May,CAL,Others,215
2025,May,CAL,Philippines,(Blank)
2025,May,CAL,United States,"2,036"
2025,May,CAL,Vietnam,10
2025,May,SATF,El Salvador,55
2025,May,SATF,Guatemala,40
2025,May,SATF,Mexico,504
2025,May,SATF,Others,593
2025,May,SATF,Philippines,19
2025,May,SATF,United States,"4,184"
2025,May,SATF,Vietnam,11
2025,May,SCC,El Salvador,15
2025,May,SCC,Guatemala,*
2025,May,SCC,Mexico,174
2025,May,SCC,Others,742
2025,May,SCC,Philippines,11
2025,May,SCC,United States,"3,021"
2025,May,SCC,Vietnam,*
2025,May,SOL,El Salvador,18
2025,May,SOL,Guatemala,14
2025,May,SOL,Mexico,250
2025,May,SOL,Others,513
2025,May,SOL,Philippines,10
2025,May,SOL,United States,"2,880"
2025,May,SOL,Vietnam,21
2025,May,SQ,El Salvador,46
2025,May,SQ,Guatemala,28
2025,May,SQ,Mexico,374
2025,May,SQ,Others,166
2025,May,SQ,Philippines,19
2025,May,SQ,United States,"2,065"
2025,May,SQ,Vietnam,24
2025,May,SVSP,El Salvador,*
2025,May,SVSP,Guatemala,*
2025,May,SVSP,Mexico,109
2025,May,SVSP,Others,166
2025,May,SVSP,Philippines,(Blank)
2025,May,SVSP,United States,"2,077"
2025,May,SVSP,Vietnam,*
2025,May,VSP,El Salvador,43
2025,May,VSP,Guatemala,27
2025,May,VSP,Mexico,322
2025,May,VSP,Others,367
2025,May,VSP,Philippines,16
2025,May,VSP,United States,"2,258"
2025,May,VSP,Vietnam,12
2025,May,WSP,El Salvador,25
2025,May,WSP,Guatemala,14
2025,May,WSP,Mexico,215
2025,May,WSP,Others,233
2025,May,WSP,Philippines,*
2025,May,WSP,United States,"3,316"
2025,May,WSP,Vietnam,*
2025,May,CPMP,El Salvador,(Blank)
2025,May,CPMP,Guatemala,(Blank)
2025,May,CPMP,Mexico,(Blank)
2025,May,CPMP,Others,*
2025,May,CPMP,Philippines,(Blank)
2025,May,CPMP,United States,*
2025,May,CPMP,Vietnam,(Blank)
2025,May,FCRF,El Salvador,*
2025,May,FCRF,Guatemala,*
2025,May,FCRF,Mexico,13
2025,May,FCRF,Others,48
2025,May,FCRF,Philippines,(Blank)
2025,May,FCRF,United States,348
2025,May,FCRF,Vietnam,(Blank)
2025,May,Alternative Custody Program,El Salvador,(Blank)
2025,May,Alternative Custody Program,Guatemala,(Blank)
2025,May,Alternative Custody Program,Mexico,(Blank)
2025,May,Alternative Custody Program,Others,(Blank)
2025,May,Alternative Custody Program,Philippines,(Blank)
2025,May,Alternative Custody Program,United States,*
2025,May,Alternative Custody Program,Vietnam,(Blank)
2025,May,Department of State Hospitals,El Salvador,(Blank)
2025,May,Department of State Hospitals,Guatemala,*
2025,May,Department of State Hospitals,Mexico,14
2025,May,Department of State Hospitals,Others,21
2025,May,Department of State Hospitals,Philippines,(Blank)
2025,May,Department of State Hospitals,United States,155
2025,May,Department of State Hospitals,Vietnam,(Blank)
2025,May,Male Community Reentry Facility,El Salvador,*
