Acronym,Year_opened,Year_opened_notes,Reentry_hub,Planned_closure,California_model_facility,cdcr_air_cooling_pilot
ASP,1987,,Yes,,,
CAL,1992,,,,,
CCI,1954,"Opened in 1954 on the site of the former California Institute for Women, which opened in 1932 and closed in 1952 after the 1952 Kern County earthquake.",,,,
CCWF,1990,,Yes,,Yes,Yes
CEN,1993,,,,,
CHCF,2013,"Opened in 2013 on the site of the former Karl Holton Drug and Alcohol Abuse Treatment Center, which opened in 1968 and closed in 2003 as part of consolidation efforts in response to a decline in youth incarceration.",,,,
CIM,1941,,Yes,,,
CIW,1952,"The original California Institution for Women was opened in 1932 on the site of the current California Correctional Institution. That facility was closed in 1952 after the 1952 Kern County earthquake, and the women incarcerated in that facility were moved to the current CIW location, which had just opened.",Yes,,,
CMC,1954,,Yes,,,
CMF,1955,,,,,Yes
COR,1988,,,,Yes,
CRC,1962,"The facility, formerly a Naval hospital, was donated by the federal government in 1962. Women were incarcerated at CRC until 2007.",,Yes,,
CTF,1948,,Yes,,,
FSP,1880,,Yes,,,
HDSP,1995,,Yes,,,
ISP,1994,,Yes,,,
KVSP,2005,,,,,Yes
LAC,1993,,Yes,,,Yes
MCSP,1987,,,,,
NKSP,1993,,,,,
PBSP,1989,,,,,
PVSP,1994,,,,,
RJD,1987,,,,Yes,
SAC,1986,,,,Yes,
SATF,1997,,Yes,,Yes,
SCC,1965,,,,,
SOL,1984,,,,,
SQ,1852,,Yes,,Yes,
SVSP,1996,,,,Yes,
VSP,1995,,Yes,,Yes,
WSP,1991,,,,,